Date,gold_price,usd_index,oil_price,sp500
2015-09-22,1125.0,96.27999877929688,45.83000183105469,1942.739990234375
2015-09-23,1131.5999755859375,96.06999969482422,44.47999954223633,1938.760009765625
2015-09-24,1153.800048828125,95.98999786376953,44.90999984741211,1932.239990234375
2015-09-25,1146.0,96.2699966430664,45.70000076293945,1931.3399658203125
2015-09-28,1132.0,96.02999877929688,44.43000030517578,1881.77001953125
2015-09-29,1127.0999755859375,95.88999938964844,45.22999954223633,1884.0899658203125
2015-09-30,1115.5,96.3499984741211,45.09000015258789,1920.030029296875
2015-10-01,1114.199951171875,96.19000244140625,44.7400016784668,1923.8199462890625
2015-10-02,1137.0999755859375,95.83000183105469,45.540000915527344,1951.3599853515625
2015-10-05,1138.0999755859375,96.11000061035156,46.2599983215332,1987.050048828125
2015-10-06,1146.800048828125,95.45999908447266,48.529998779296875,1979.9200439453125
2015-10-07,1149.0,95.5,47.810001373291016,1995.8299560546875
2015-10-08,1144.699951171875,95.31999969482422,49.43000030517578,2013.4300537109375
2015-10-09,1156.300048828125,94.80999755859375,49.630001068115234,2014.8900146484375
2015-10-12,1164.9000244140625,94.83999633789062,47.099998474121094,2017.4599609375
2015-10-13,1165.800048828125,94.76000213623047,46.65999984741211,2003.68994140625
2015-10-14,1180.0999755859375,93.93000030517578,46.63999938964844,1994.239990234375
2015-10-15,1187.9000244140625,94.37000274658203,46.380001068115234,2023.8599853515625
2015-10-16,1183.5999755859375,94.54000091552734,47.2599983215332,2033.1099853515625
2015-10-19,1173.300048828125,94.95999908447266,45.88999938964844,2033.6600341796875
2015-10-20,1178.0,94.8499984741211,45.54999923706055,2030.77001953125
2015-10-21,1167.5999755859375,95.05000305175781,45.20000076293945,2018.93994140625
2015-10-22,1166.5999755859375,96.33999633789062,45.380001068115234,2052.510009765625
2015-10-23,1163.300048828125,97.06999969482422,44.599998474121094,2075.14990234375
2015-10-26,1167.0,96.86000061035156,43.97999954223633,2071.179931640625
2015-10-27,1166.800048828125,96.91000366210938,43.20000076293945,2065.889892578125
2015-10-28,1177.0999755859375,97.77999877929688,45.939998626708984,2090.35009765625
2015-10-29,1147.199951171875,97.27999877929688,46.060001373291016,2089.409912109375
2015-10-30,1141.5,96.94999694824219,46.59000015258789,2079.360107421875
2015-11-02,1135.800048828125,96.93000030517578,46.13999938964844,2104.050048828125
2015-11-03,1114.199951171875,97.16000366210938,47.900001525878906,2109.7900390625
2015-11-04,1106.5,97.94999694824219,46.31999969482422,2102.31005859375
2015-11-05,1104.4000244140625,97.94000244140625,45.20000076293945,2099.929931640625
2015-11-06,1087.5999755859375,99.16000366210938,44.290000915527344,2099.199951171875
2015-11-09,1087.9000244140625,98.9800033569336,43.869998931884766,2078.580078125
2015-11-10,1088.199951171875,99.29000091552734,44.209999084472656,2081.719970703125
2015-11-11,1084.699951171875,99.01000213623047,42.93000030517578,2075.0
2015-11-12,1080.800048828125,98.6500015258789,41.75,2045.969970703125
2015-11-13,1080.800048828125,98.98999786376953,40.7400016784668,2023.0400390625
2015-11-16,1083.699951171875,99.44000244140625,41.7400016784668,2053.18994140625
2015-11-17,1068.699951171875,99.62999725341797,40.66999816894531,2050.43994140625
2015-11-18,1068.800048828125,99.6500015258789,40.75,2083.580078125
2015-11-19,1078.0,98.98999786376953,40.540000915527344,2081.239990234375
2015-11-20,1076.4000244140625,99.56999969482422,40.38999938964844,2089.169921875
2015-11-23,1066.800048828125,99.80000305175781,41.75,2086.590087890625
2015-11-24,1074.300048828125,99.52999877929688,42.869998931884766,2089.139892578125
2015-11-25,1070.5,99.80000305175781,43.040000915527344,2088.8701171875
2015-11-27,1056.199951171875,100.0199966430664,41.709999084472656,2090.110107421875
2015-11-30,1065.800048828125,100.16999816894531,41.650001525878906,2080.409912109375
2015-12-01,1063.800048828125,99.80000305175781,41.849998474121094,2102.6298828125
2015-12-02,1054.199951171875,99.98999786376953,39.939998626708984,2079.510009765625
2015-12-03,1061.699951171875,97.62000274658203,41.08000183105469,2049.6201171875
2015-12-04,1084.5,98.3499984741211,39.970001220703125,2091.68994140625
2015-12-07,1076.4000244140625,98.66000366210938,37.650001525878906,2077.070068359375
2015-12-08,1076.300048828125,98.47000122070312,37.5099983215332,2063.590087890625
2015-12-09,1077.5999755859375,97.3499984741211,37.15999984741211,2047.6199951171875
2015-12-10,1073.0999755859375,97.94000244140625,36.7599983215332,2052.22998046875
2015-12-11,1076.9000244140625,97.56999969482422,35.619998931884766,2012.3699951171875
2015-12-14,1064.699951171875,97.5999984741211,36.310001373291016,2021.93994140625
2015-12-15,1062.9000244140625,98.22000122070312,37.349998474121094,2043.4100341796875
2015-12-16,1078.0,97.87000274658203,35.52000045776367,2073.070068359375
2015-12-17,1050.800048828125,99.2699966430664,34.95000076293945,2041.8900146484375
2015-12-18,1066.199951171875,98.69999694824219,34.72999954223633,2005.550048828125
2015-12-21,1081.9000244140625,98.45999908447266,34.7400016784668,2021.1500244140625
2015-12-22,1074.800048828125,98.23999786376953,36.13999938964844,2038.969970703125
2015-12-23,1069.4000244140625,98.33999633789062,37.5,2064.2900390625
2015-12-24,1077.199951171875,97.9800033569336,38.099998474121094,2060.989990234375
2015-12-28,1070.5,97.91999816894531,36.810001373291016,2056.5
2015-12-29,1077.5,98.0999984741211,37.869998931884766,2078.360107421875
2015-12-30,1060.0999755859375,98.2699966430664,36.599998474121094,2063.360107421875
2015-12-31,1060.300048828125,98.62999725341797,37.040000915527344,2043.93994140625
2016-01-04,1075.0999755859375,98.87000274658203,36.7599983215332,2012.6600341796875
2016-01-05,1078.4000244140625,99.4000015258789,35.970001220703125,2016.7099609375
2016-01-06,1091.9000244140625,99.18000030517578,33.970001220703125,1990.260009765625
2016-01-07,1107.699951171875,98.22000122070312,33.27000045776367,1943.0899658203125
2016-01-08,1097.800048828125,98.54000091552734,33.15999984741211,1922.030029296875
2016-01-11,1096.5,98.7300033569336,31.40999984741211,1923.6700439453125
2016-01-12,1085.5999755859375,98.97000122070312,30.440000534057617,1938.6800537109375
2016-01-13,1087.5,98.93000030517578,30.479999542236328,1890.280029296875
2016-01-14,1073.9000244140625,99.08999633789062,31.200000762939453,1921.8399658203125
2016-01-15,1091.5,98.95999908447266,29.420000076293945,1880.3299560546875
2016-01-19,1089.9000244140625,98.98999786376953,28.459999084472656,1881.3299560546875
2016-01-20,1107.0999755859375,99.08999633789062,26.549999237060547,1859.3299560546875
2016-01-21,1099.0999755859375,99.05999755859375,29.530000686645508,1868.989990234375
2016-01-22,1097.199951171875,99.56999969482422,32.189998626708984,1906.9000244140625
2016-01-25,1106.199951171875,99.36000061035156,30.34000015258789,1877.0799560546875
2016-01-26,1121.699951171875,99.36000061035156,31.450000762939453,1903.6300048828125
2016-01-27,1116.0999755859375,98.9000015258789,32.29999923706055,1882.949951171875
2016-01-28,1115.5999755859375,98.51000213623047,33.220001220703125,1893.3599853515625
2016-01-29,1116.4000244140625,99.61000061035156,33.619998931884766,1940.239990234375
2016-02-01,1127.9000244140625,99.0,31.6200008392334,1939.3800048828125
2016-02-02,1127.300048828125,98.87000274658203,29.8799991607666,1903.030029296875
2016-02-03,1141.300048828125,97.29000091552734,32.279998779296875,1912.530029296875
2016-02-04,1157.5999755859375,96.47000122070312,31.719999313354492,1915.449951171875
2016-02-05,1157.800048828125,97.02999877929688,30.889999389648438,1880.050048828125
2016-02-08,1197.9000244140625,96.56999969482422,29.690000534057617,1853.43994140625
2016-02-09,1198.699951171875,96.06999969482422,27.940000534057617,1852.2099609375
2016-02-10,1194.699951171875,95.88999938964844,27.450000762939453,1851.8599853515625
2016-02-11,1247.9000244140625,95.55999755859375,26.209999084472656,1829.0799560546875
2016-02-12,1239.0999755859375,95.9800033569336,29.440000534057617,1864.780029296875
2016-02-16,1207.9000244140625,96.87000274658203,29.040000915527344,1895.5799560546875
2016-02-17,1211.0999755859375,96.79000091552734,30.65999984741211,1926.8199462890625
2016-02-18,1226.0999755859375,96.94999694824219,30.770000457763672,1917.8299560546875
2016-02-19,1230.4000244140625,96.5999984741211,29.639999389648438,1917.780029296875
2016-02-22,1209.5,97.37999725341797,31.479999542236328,1945.5
2016-02-23,1222.300048828125,97.4800033569336,31.8700008392334,1921.27001953125
2016-02-24,1238.699951171875,97.45999908447266,32.150001525878906,1929.800048828125
2016-02-25,1238.199951171875,97.29000091552734,33.06999969482422,1951.699951171875
2016-02-26,1219.800048828125,98.1500015258789,32.779998779296875,1948.050048828125
2016-02-29,1233.9000244140625,98.20999908447266,33.75,1932.22998046875
2016-03-01,1230.300048828125,98.3499984741211,34.400001525878906,1978.3499755859375
2016-03-02,1241.0999755859375,98.20999908447266,34.65999984741211,1986.449951171875
2016-03-03,1257.4000244140625,97.56999969482422,34.56999969482422,1993.4000244140625
2016-03-04,1269.9000244140625,97.33999633789062,35.91999816894531,1999.989990234375
2016-03-07,1263.199951171875,97.06999969482422,37.900001525878906,2001.760009765625
2016-03-08,1262.0999755859375,97.20999908447266,36.5,1979.260009765625
2016-03-09,1256.5999755859375,97.16999816894531,38.290000915527344,1989.260009765625
2016-03-10,1272.0,96.06999969482422,37.84000015258789,1989.5699462890625
2016-03-11,1258.699951171875,96.16999816894531,38.5,2022.18994140625
2016-03-14,1244.4000244140625,96.62000274658203,37.18000030517578,2019.6400146484375
2016-03-15,1230.4000244140625,96.62999725341797,36.34000015258789,2015.9300537109375
2016-03-16,1229.300048828125,95.88999938964844,38.459999084472656,2027.219970703125
2016-03-17,1264.5,94.76000213623047,40.20000076293945,2040.5899658203125
2016-03-18,1253.800048828125,94.98999786376953,39.439998626708984,2049.580078125
2016-03-21,1243.800048828125,95.29000091552734,39.90999984741211,2051.60009765625
2016-03-22,1248.199951171875,95.6500015258789,41.45000076293945,2049.800048828125
2016-03-23,1223.699951171875,96.05000305175781,39.790000915527344,2036.7099609375
2016-03-24,1221.4000244140625,96.13999938964844,39.459999084472656,2035.93994140625
2016-03-28,1219.9000244140625,95.94000244140625,39.38999938964844,2037.050048828125
2016-03-29,1235.5999755859375,95.16000366210938,38.279998779296875,2055.010009765625
2016-03-30,1226.9000244140625,94.83999633789062,38.31999969482422,2063.949951171875
2016-03-31,1234.199951171875,94.58999633789062,38.34000015258789,2059.739990234375
2016-04-01,1222.199951171875,94.62000274658203,36.790000915527344,2072.780029296875
2016-04-04,1218.0,94.51000213623047,35.70000076293945,2066.1298828125
2016-04-05,1228.4000244140625,94.62999725341797,35.88999938964844,2045.1700439453125
2016-04-06,1222.5,94.43000030517578,37.75,2066.659912109375
2016-04-07,1236.199951171875,94.4800033569336,37.2599983215332,2041.9100341796875
2016-04-08,1242.5,94.23999786376953,39.720001220703125,2047.5999755859375
2016-04-11,1256.699951171875,93.94999694824219,40.36000061035156,2041.989990234375
2016-04-12,1259.4000244140625,93.95999908447266,42.16999816894531,2061.719970703125
2016-04-13,1246.800048828125,94.73999786376953,41.7599983215332,2082.419921875
2016-04-14,1225.0,94.9000015258789,41.5,2082.780029296875
2016-04-15,1233.0999755859375,94.69999694824219,40.36000061035156,2080.72998046875
2016-04-18,1233.5999755859375,94.48999786376953,39.779998779296875,2094.340087890625
2016-04-19,1253.0,93.9800033569336,41.08000183105469,2100.800048828125
2016-04-20,1253.199951171875,94.48999786376953,42.630001068115234,2102.39990234375
2016-04-21,1249.0,94.5999984741211,43.18000030517578,2091.47998046875
2016-04-22,1228.699951171875,95.12000274658203,43.72999954223633,2091.580078125
2016-04-25,1238.9000244140625,94.83999633789062,42.63999938964844,2087.7900390625
2016-04-26,1242.199951171875,94.56999969482422,44.040000915527344,2091.699951171875
